Code_DPT;Libelle_DPT;Partitipation;abstentitons;votes1;votes2
01;Ain;Saint-Jean-sur-Reyssouze;441;128;185;218
01;Ain;Sainte-Julie;593;140;236;312
01;Ain;Saint-Julien-sur-Reyssouze;368;92;161;186
01;Ain;Saint-Julien-sur-Veyle;475;121;216;222
01;Ain;Saint-Martin-du-Frêne;598;139;271;279
01;Ain;Saint-Maurice-de-Gourdans;1690;477;716;867
01;Ain;Saint-Maurice-de-Rémens;412;125;124;253
01;Ain;Saint-Nizier-le-Bouchoux;416;103;184;210
01;Ain;Saint-Nizier-le-Désert;504;152;194;272
01;Ain;Saint-Paul-de-Varax;855;282;365;440
01;Ain;Saint-Rambert-en-Bugey;902;406;351;471
01;Ain;Saint-Sulpice;148;25;54;88
01;Ain;Saint-Trivier-de-Courtes;541;173;224;277
01;Ain;Saint-Trivier-sur-Moignans;1029;289;440;518
01;Ain;Saint-Vulbas;693;171;241;427
01;Ain;Salavre;215;44;94;101
01;Ain;Samognat;412;90;183;197
01;Ain;Sandrans;378;69;161;191
01;Ain;Sault-Brénaz;438;150;178;228
01;Ain;Seillonnaz;104;26;45;48
01;Ain;Sermoyer;401;105;146;227
01;Ain;Serrières-de-Briord;728;239;298;365
01;Ain;Serrières-sur-Ain;99;26;43;46
01;Ain;Servas;676;223;283;342
01;Ain;Simandre-sur-Suran;408;133;176;189
01;Ain;Souclin;172;25;59;97
01;Ain;Talissieu;239;63;99;120
01;Ain;Tenay;422;185;155;241
01;Ain;Thoissey;749;316;314;398
01;Ain;Torcieu;430;107;161;240
01;Ain;Valeins;89;18;38;46
01;Ain;Vandeins;418;88;155;229
01;Ain;Varambon;330;95;147;166
01;Ain;Vaux-en-Bugey;733;179;320;332
01;Ain;Vernoux;150;43;45;94
01;Ain;Versailleux;279;53;124;135
01;Ain;Vescours;128;27;47;71
01;Ain;Vieu-d'Izenave;388;95;142;222
01;Ain;Villebois;678;254;239;366
01;Ain;Villeneuve;953;212;405;491
01;Ain;Villereversure;716;207;303;347
01;Ain;Villette-sur-Ain;451;127;194;221
01;Ain;Virieu-le-Grand;591;190;216;332
01;Ain;Arviere-en-Valromey;425;159;178;195
01;Ain;Virignin;575;159;217;319
