Code_DPT;Libelle_DPT;Partitipation;abstentitons;votes1;votes2
01;Ain;Ruffieu;135;24;70;51
01;Ain;Saint-Alban;119;29;56;44
01;Ain;Saint-André-de-Bâgé;490;120;229;210
01;Ain;Saint-André-de-Corcy;2044;617;951;924
01;Ain;Saint-André-sur-Vieux-Jonc;713;188;335;316
01;Ain;Saint-Bénigne;789;197;368;344
01;Ain;Saint-Bernard;1041;263;642;326
01;Ain;Sainte-Croix;343;78;165;146
01;Ain;Saint-Denis-lès-Bourg;3480;1119;2058;1116
01;Ain;Saint-Didier-d'Aussiat;511;108;251;223
01;Ain;Saint-Didier-de-Formans;1398;312;790;518
01;Ain;Saint-Eloi;324;91;162;135
01;Ain;Saint-Etienne-du-Bois;1543;411;737;667
01;Ain;Saint-Etienne-sur-Reyssouze;334;84;154;144
01;Ain;Sainte-Euphémie;939;228;526;346
01;Ain;Saint-Genis-Pouilly;3501;1655;2344;965
01;Ain;Saint-Germain-de-Joux;197;70;105;68
01;Ain;Saint-Jean-de-Gonville;833;243;479;289
01;Ain;Saint-Jean-de-Thurigneux;489;92;241;227
01;Ain;Saint-Jean-sur-Veyle;669;208;310;288
01;Ain;Saint-Just;596;167;331;188
01;Ain;Saint-Laurent-sur-Saône;695;315;358;263
01;Ain;Saint-Marcel;726;230;336;326
01;Ain;Saint-Martin-de-Bavel;262;95;135;104
01;Ain;Saint-Martin-du-Mont;1187;256;580;511
01;Ain;Saint-Maurice-de-Beynost;1756;723;989;628
01;Ain;Sainte-Olive;198;51;103;87
01;Ain;Saint-Rémy;632;152;333;250
01;Ain;Saint-Sorlin-en-Bugey;702;168;364;284
01;Ain;Sauverny;440;171;283;137
01;Ain;Savigneux;826;214;395;386
01;Ain;Ségny;843;356;531;257
01;Ain;Sergy;821;229;539;224
01;Ain;Servignat;117;21;54;50
01;Ain;Seyssel;493;175;258;194
01;Ain;Sonthonnax-la-Montagne;189;54;89;79
01;Ain;Sulignat;359;78;174;162
01;Ain;Thil;738;179;431;259
01;Ain;Thoiry;2399;911;1581;669
01;Ain;Tossiat;893;223;439;370
01;Ain;Toussieux;680;130;339;285
01;Ain;Tramoyes;1186;253;637;444
01;Ain;La Tranclière;190;49;92;87
01;Ain;Val-Revermont;1479;394;739;593
01;Ain;Trévoux;3049;1033;1762;1035
01;Ain;Versonnex;860;402;520;280
01;Ain;Vesancy;268;84;193;58
01;Ain;Vésines;55;16;28;23
01;Ain;Villars-les-Dombes;2633;812;1326;1127
01;Ain;Villemotier;375;87;181;169
01;Ain;Villes;210;68;98;89
01;Ain;Villieu-Loyes-Mollon;2263;628;1043;1034
01;Ain;Viriat;3772;1034;2059;1435
01;Ain;Vongnes;61;8;37;15
01;Ain;Vonnas;1641;595;817;704
02;Aisne;Vallées en Champagne;367;96;172;171
02;Aisne;Besny-et-Loizy;217;42;115;76
02;Aisne;Bouconville-Vauclair;113;21;59;48
02;Aisne;Bouffignereux;79;9;52;22
02;Aisne;Bourguignon-sous-Montbavin;102;13;44;41
02;Aisne;Brie;37;7;21;14
02;Aisne;Bruyères-et-Montbérault;905;268;422;415
02;Aisne;Bruys;22;5;11;4
02;Aisne;Celles-lès-Condé;52;12;25;21
02;Aisne;Cerizy;47;4;24;20
02;Aisne;Cerny-lès-Bucy;70;13;34;30
02;Aisne;Château-Thierry;6001;3502;2975;2468
02;Aisne;Chérêt;87;33;43;41
02;Aisne;Chézy-sur-Marne;733;237;341;340
02;Aisne;Chierry;642;193;326;266
02;Aisne;Coingt;50;13;33;17
02;Aisne;Colonfay;56;3;26;25
02;Aisne;Courtrizy-et-Fussigny;51;9;26;19
02;Aisne;Crupilly;39;8;20;17
