42;Loire;;77;6;42;24
42;Loire;;8034;3016;4399;2920
42;Loire;;3029;1127;1432;1396
42;Loire;;327;105;154;136
42;Loire;;266;98;122;103
42;Loire;;143;35;75;59
42;Loire;;964;263;453;408
42;Loire;;105;33;49;41
42;Loire;;374;71;177;166
42;Loire;;1641;570;764;727
42;Loire;;377;70;176;173
42;Loire;;2253;688;1142;878
42;Loire;;1245;350;589;549
42;Loire;;187;49;97;76
42;Loire;;650;129;392;201
42;Loire;;782;183;368;348
42;Loire;;1234;246;618;494
42;Loire;;558;143;267;243
42;Loire;;582;130;279;254
42;Loire;;1998;634;1028;782
42;Loire;;2526;1689;1422;875
42;Loire;;6167;1780;3290;2259
42;Loire;;422;103;227;161
42;Loire;;5246;3253;2439;2361
42;Loire;;13959;5714;7666;5054
42;Loire;;169;49;81;76
42;Loire;;5448;2215;2681;2310
42;Loire;;617;152;310;248
42;Loire;;891;227;451;354
42;Loire;;149;35;71;62
42;Loire;;574;187;251;246
42;Loire;;82;17;39;33
42;Loire;;1302;356;679;488
42;Loire;;465;103;221;188
42;Loire;;426;138;229;160
42;Loire;;681;272;364;269
42;Loire;;1094;282;666;368
42;Loire;;15019;8277;7841;5755
42;Loire;;1200;203;590;535
42;Loire;;301;61;155;113
42;Loire;;539;117;243;242
42;Loire;;199;68;104;74
42;Loire;;609;115;311;270
42;Loire;;693;224;325;298
42;Loire;;428;57;243;152
42;Loire;;252;84;126;92
42;Loire;;57775;30382;36084;16877
42;Loire;;3318;1009;1887;1200
42;Loire;;3254;1038;1846;1120
42;Loire;;1860;395;1035;654
42;Loire;;2214;695;1125;901
42;Loire;;277;49;151;112
42;Loire;;361;91;211;101
42;Loire;;674;145;329;285
42;Loire;;2278;543;1375;721
42;Loire;;227;51;106;99
42;Loire;;318;57;150;148
42;Loire;;3484;1292;1769;1397
42;Loire;;502;135;237;199
42;Loire;;1158;369;563;512
42;Loire;;180;46;98;67
42;Loire;;686;228;335;271
42;Loire;;646;226;297;275
42;Loire;;761;177;370;332
42;Loire;;162;57;84;64
42;Loire;;2210;553;1153;884
42;Loire;;636;149;377;201
42;Loire;;530;183;258;223
42;Loire;;1001;267;495;396
42;Loire;;507;100;256;205
42;Loire;;815;279;445;293
42;Loire;;2499;762;1242;1049
42;Loire;;900;352;421;396
42;Loire;;2973;909;1793;934
42;Loire;;8649;2994;4810;3146
42;Loire;;272;53;142;105
42;Loire;;186;47;98;62
42;Loire;;957;219;485;371
42;Loire;;641;181;311;253
42;Loire;;403;93;215;150
42;Loire;;660;148;354;246
42;Loire;;378;66;189;159
42;Loire;;416;107;229;149
42;Loire;;281;52;135;115
42;Loire;;2115;627;1124;818
42;Loire;;4803;1336;2661;1763
42;Loire;;3450;1045;1861;1310
42;Loire;;361;61;209;121
42;Loire;;538;121;254;234
42;Loire;;761;163;490;213
42;Loire;;440;95;225;174
42;Loire;;258;78;125;112
42;Loire;;4204;1855;1952;1807
42;Loire;;87;11;49;29
42;Loire;;5463;1365;2723;2320
42;Loire;;580;106;283;217
42;Loire;;406;121;213;167
42;Loire;;404;121;203;145
42;Loire;;251;62;130;95
42;Loire;;4371;1597;2356;1615
42;Loire;;632;151;331;237
42;Loire;;3085;856;1643;1179
42;Loire;;782;198;363;338
42;Loire;;302;47;162;117
42;Loire;;957;223;451;423
43;Haute-Loire;;886;272;540;248
43;Haute-Loire;;163;43;69;59
43;Haute-Loire;;779;168;384;302
43;Haute-Loire;;48;8;27;16
43;Haute-Loire;;42;17;25;13
43;Haute-Loire;;78;9;36;30
43;Haute-Loire;;189;57;89;69
43;Haute-Loire;;110;25;58;35
43;Haute-Loire;;1148;236;541;472
43;Haute-Loire;;452;131;207;192
43;Haute-Loire;;55;21;28;19
43;Haute-Loire;;3363;1490;1784;1184
43;Haute-Loire;;2269;744;1140;879
43;Haute-Loire;;159;35;75;55
43;Haute-Loire;;257;72;128;101
43;Haute-Loire;;1493;462;793;515
43;Haute-Loire;;196;52;102;69
43;Haute-Loire;;1573;700;941;473
43;Haute-Loire;;156;54;66;59
43;Haute-Loire;;161;56;79;67
43;Haute-Loire;;57;10;30;17
43;Haute-Loire;;532;122;270;194
43;Haute-Loire;;95;38;46;30
43;Haute-Loire;;85;14;47;31
43;Haute-Loire;;87;28;37;33
43;Haute-Loire;;154;28;64;59
